feature,metric,dim,wt_mean,mudmut_mean,fold_change,p_mwu,p_mwu_fmt
n_dpn,# neuroblasts (dpn),2D,1.0,1.7966101694915255,1.7966101694915255,7.78154682730515e-12,<0.001
n_dpn,# neuroblasts (dpn),3D,1.0,1.7966101694915255,1.7966101694915255,7.78154682730515e-12,<0.001
dpn_area,Total NB area/volume,2D,107.8275085693599,74.73509068517373,0.6930985578425053,2.8754378128866556e-08,<0.001
dpn_area,Total NB area/volume,3D,353.92360026041666,210.0261389522229,0.5934222493150665,2.3598613131319644e-13,<0.001
avg_dpn_area,Avg NB area/volume,2D,107.8275085693599,48.21765638367813,0.4471739820702821,1.7874417810401986e-16,<0.001
avg_dpn_area,Avg NB area/volume,3D,353.92360026041666,131.48799980292887,0.37151520753682465,3.1411518499895355e-19,<0.001
lin_area,Lineage area/volume,2D,501.16053982865867,366.74240202742146,0.7317862698304354,3.949214704470043e-09,<0.001
lin_area,Lineage area/volume,3D,4084.718154674679,2434.567831734148,0.5960185597990286,8.59900775441946e-13,<0.001
n_pros,# non-neuroblasts (pros),2D,44.93333333333333,36.932203389830505,0.8219333098626967,0.024520363413993097,0.02
n_pros,# non-neuroblasts (pros),3D,44.93333333333333,36.932203389830505,0.8219333098626967,0.024520363413993097,0.02
