regulatory_dynamic,adhesion,relrot_label,n_connected,n_total,frac,ci_lo,ci_hi
VOL-ABM,50,off,42,50,0.84,0.7149,0.9166
VOL-ABM,50,mu=0,35,50,0.7,0.5625,0.809
VOL-ABM,50,mu=45,34,50,0.68,0.5419,0.7924
VOL-ABM,50,mu=90,34,50,0.68,0.5419,0.7924
VOL-ABM,40,off,46,50,0.92,0.8116,0.9685
VOL-ABM,40,mu=0,36,50,0.72,0.5833,0.8253
VOL-ABM,40,mu=45,32,50,0.64,0.5014,0.7586
VOL-ABM,40,mu=90,34,50,0.68,0.5419,0.7924
VOL-ABM,20,off,48,50,0.96,0.8654,0.989
VOL-ABM,20,mu=0,40,50,0.8,0.6696,0.8876
VOL-ABM,20,mu=45,43,50,0.86,0.7381,0.9305
VOL-ABM,20,mu=90,37,50,0.74,0.6045,0.8413
